Source,Date,Title,Authors,Text,Keywords
foxnews,,Neil Cavuto Premium Podcast,"['Fox News Radio', 'Alan Colmes']","No one covers the world of business, politics and more  Your World  like Neil Cavuto!

You can now get a daily audio podcast of Fox News Channels Your World that you can download and listen to whenever you wish.","['neil', 'world', 'wish', 'fox', 'daily', 'cavuto', 'covers', 'politics', 'download', 'premium', 'podcast', 'listen']"
foxnews,2016-02-22 00:00:00,Common software would have allowed FBI to unlock San Bernardino shooter's phone,[],"The county government that owned the iPhone in a high-profile legal battle between Apple Inc. and the Justice Department paid for but never installed a feature that would have allowed the FBI to easily and immediately unlock the phone as part of the terrorism investigation into the shootings that killed 14 people in San Bernardino, Calif.



If the technology, known as mobile device management, had been installed, San Bernardino officials would have been able to remotely unlock the iPhone for the FBI without the theatrics of a court battle that is now pitting digital privacy rights against national security concerns.



The service costs $4 per month per phone.



Instead, the only person who knew the unlocking passcode for the phone is the dead gunman, Syed Farook, who worked as an inspector in the county's public health department.



The iPhone assigned to Farook also lacked a Touch ID feature, meaning the FBI cannot use the dead gunman's thumbprint to unlock it now. The FBI found the phone in a car after the shootings.



A U.S. magistrate last week ordered Apple to provide the FBI with highly specialized software that could be loaded onto the work-issued iPhone 5C used by Farook. He died with his wife in a gun battle with police after killing 14 people in December.



The software would help the FBI hack into the phone by bypassing a security time delay and feature that erases all data after 10 consecutive, unsuccessful attempts to guess the unlocking passcode. This would allow the FBI to use technology to rapidly and repeatedly test numbers in what's known as a brute force attack.



The FBI said it wants to determine whether Farook had used his phone to communicate with others about the attack.



FBI Director James Comey said the agency owes it to the victims of the San Bernardino terror attacks to try to gain access to a cellphone used by one of the gunmen.



In a message posted Sunday night on the Lawfare blog, Comey said the FBI ""can't look the survivors in the eye, or ourselves in the mirror, if we don't follow this lead."" Comey said the court case ""isn't about trying to set a precedent"" but is instead about doing justice for the victims.



Apple has said it will protest the ruling and has until Friday to intervene in court.



San Bernardino had an existing contract with a technology provider, MobileIron Inc., but did not install it on any inspectors' iPhones, county spokesman David Wert said. There is no countywide policy on the matter and departments make their own decisions, he said.



MobileIron has confirmed that if the software were installed on the iPhone, it would unlock it.



Wert disputed the value of the remote management technology because he said Farook -- or any other county employee -- could have removed it manually. That would have alerted county technology employees and led them to intervene.



In many offices and classrooms, officially issued smartphones include the installed management software. It can unlock the phone, delete all information in case of loss or theft, track the device's physical location, determine which apps are installed, check battery life and push software updates. The technology is intended to make such products more suitable in corporate environments, where tighter controls are important to protect company secrets.



""This is the business case"" for mobile device management, said John Dickson, a principal at Denim Group Ltd., a security consultancy. ""The organization simply has no control or influence or anything over the device unless they have some MDM authority. The ability to do remote air updates, the ability to do remote wipe, the ability to control certain settings. Those are the standard kinds of things you do in mobile device management.""



Dickson said ""the big question now going forward, it builds the case for, is why this guy would have an essentially uncontrolled device.""



This is the first time since the county issued its first Blackberry device in 2003 that law enforcement has needed access to a locked county-owned phone, Wert said. Prosecutors said in court filings that the county gave its consent to search the device. County policy said digital devices can be searched at any time and Farook signed such an agreement.

Apple executives said Friday that the company had worked hard to help federal investigators get information off the locked iPhone, suggesting they use an iCloud workaround while the phone was connected to a familiar wireless network so that it would begin automatically backing up and provide access to data. The executives spoke on condition of anonymity because of the ongoing legal process.



The executives said Apple sent engineers to work with the FBI on the workaround but the effort ultimately failed. The FBI said it worked with the county to reset the iCloud password a few days after the attack to try to get immediate access to the data. That effort eliminated the possibility of the Apple suggested workaround being possible.



But if the county had installed the management device it had bought onto Farook's phone, none of these efforts would have been necessary.



Ted Olson, a lawyer for Apple, told ABC's ""This Week"" Sunday that the legal fight had evoked an important debate about privacy and civil liberties. But he warned there'd be no limiting what the government could require Apple to do in the future if the Justice Department got its way this time.



""Apple has a responsibility to maintain the trust and faith of millions of people who've depended upon Apple to produce a product that protects their privacy -- their intimate, personal life,"" said Olson, a former solicitor general under President George W. Bush. ""This is a Pandora's box.""



Gartner Inc., a technology research firm, estimated that over 60 percent of large enterprises -- meaning business, government and educational entities -- used some kind of MDM software as of last year, though not necessarily on all company-owned devices. That percentage is likely higher now than when the research was done months ago, said Terrence Cosgrove, a research director with Gartner's mobile and client computing research group. Cosgrove said MDM adoption rates are generally higher among government users.



Many workers balk at the idea that the software can monitor and track their personal phones, said Alex Heid, chief research officer at the cybersecurity firm SecurityScorecard Inc. But if the company provides a phone, it's considered reasonable practice to use such software.



""If a company's assumption is that they might not be able to get back into a device one day then it's not really a company asset at that point, it's a gift,"" he said.","['farook', 'apple', 'san', 'bernardino', 'installed', 'county', 'phone', 'unlock', 'iphone', 'common', 'allowed', 'device', 'fbi', 'software', 'technology', 'shooters']"
foxnews,2016-02-09 00:00:00,Flip for these pancakes on Pancake Day,[],"Flip for these pancakes on Pancake Day

Today is Shrove Tuesday and that means eating lots of pancakes. Originating from the Old English word ""shrive"" which is means ""absolve"" --the day is seen as a day to enjoy yummy foods before the fasting of Lent. So celebrate by whipping up one of these fabulous pancake creations.","['word', 'means', 'pancakes', 'whipping', 'flip', 'shrove', 'pancake', 'seen', 'shrive', 'day', 'yummy']"
foxnews,2016-02-22 00:00:00,Kaley Cuoco explains her workout routine as 'Big Bang' celebrates 200 episodes,[],"It's no secret that Kaley Cuoco has the best abs in Hollywood, but just how does she keep her insane figure?

ET talked to the 30-year-old actress at Saturday night's celebration of the ""Big Bang Theory's"" 200th episode, where she revealed the exercise thats done wonders for her.

""Yoga is the secret,"" Kaley stressed. ""Yoga is the reason that I have been [looking great]. It has done everything, mentally and physically. I love it.""

WATCH: Kaley Cuoco Is Already Winning 2016 With Her Sexy Style and Flawless Figure

In fact, she said she feels her most attractive after a yoga workout, which she does daily.

""In yoga pants, at home with the dogs, drinking my wine after yoga,"" she surprisingly said when asked when she feels the sexiest, despite plenty of recent glamorous red carpet appearances.

""I only go to yoga to drink wine, so I'm good,"" she also joked. ""I just throw the calories right back in.""

Kaley also talked about the ""Big Bang Theory's"" incredible run. The hit CBS show is undeniably still going strong since premiering in 2007.

""This is unbelievable,"" the blonde beauty said about celebrating the sitcom's milestone episode. ""To still be number one, it makes no sense. [We have] amazing writers, an amazing cast and crew of people.""

""This is a dream come true,"" she added. ""You don't ever think you are ever going to get to a point like this, and then when you are here, it is all about gratefulness, so I am thrilled to be here.""

The actress shared her favorite episode ever from the beloved comedy, which involves a special moment between her and actor Jim Parsons' characters, Penny and Sheldon.

""One that I'll always find special -- it was a long time ago -- is our holiday episode where Sheldon and Penny hug for the first time,"" she shared. ""I love that one. But, we've done so many fun ones as a group. The scavenger hunt was fun, and I love when we're all together. It's nice.""

WATCH: EXCLUSIVE -- Inside Kaley Cuoco's Single-Girl Home!

Cuoco also revealed her favorite yoga pants to ET, which just so happens to be her hilarious pair printed with current ""Bachelor"" star Ben Higgins' face on them.","['200', 'talked', 'episode', 'love', 'big', 'workout', 'secret', 'episodes', 'bang', 'wine', 'special', 'routine', 'yoga', 'shared', 'explains', 'celebrates', 'theorys', 'cuoco', 'kaley']"
foxnews,2016-02-21 00:00:00,Congratulatory tweets pour in after Denny Hamlin delivers Daytona win,[],"The tweets have swarmed in congratulating Denny Hamlin on his win in the 58th annual Daytona 500.

There were many that shared in Hamlin's excitement after edging Martin Truex Jr. at the line in the closest finish in race history.","['congratulatory', 'daytona', 'swarmed', 'win', 'pour', 'denny', 'hamlin', 'race', 'jr', 'martin', 'tweets', 'shared', 'delivers', 'history', 'line', 'truex']"
foxnews,,Kalamazoo official on the latest in shooting investigation,[],,"['kalamazoo', 'shooting', 'latest', 'investigation', 'official']"
foxnews,2016-02-19 00:00:00,Virgin Galactic unveils new SpaceShipTwo spaceplane,[],"Virgin Galactic unveiled the latest version of its SpaceShipTwo spaceplane Friday.

The private space tourism company revealed the plane during an event at the Mojave Air and Spaceport in California. Professor Stephen Hawking named the spaceplane Virgin Spaceship (VSS) Unity in a recorded speech.

Related: Google this: Israeli scientists eye $20M moon race prize



""Together, we can make space accessible in a way that has only been dreamt of before now, and by doing so can bring positive change to life on Earth,"" said Virgin Group Founder Sir Richard Branson. ""Our beautiful new spaceship, VSS Unity, is the embodiment of that goal and will provide us with an unprecedented body of experience which will in turn lay the foundations for Virgin Galactic's future.""

Ladies and gentlemen, please meet the new #SpaceShipTwo. More photos and info coming soon. pic.twitter.com/cNCTDj3cHv  Virgin Galactic (@virgingalactic) February 19, 2016

The spaceplane is designed to take a crew of two pilots and six passengers to space.

Virgin Galactic's spaceline fleet now consists of VSS Unity and two carrier aircraft - WhiteKnightTwo VMS Eve for transporting humans to space and the 747-400 Cosmic Girl for the company's LauncherOne satellite launch service.

Related: Virgin Galactic will launch satellites from a Boeing 747

The company will now perform systems verification on the new spaceplane, followed by ground and flight tests in Mojave and its future home in Spaceport America, N.M. In a press release, Virgin Galactic said that it has already started work on the next SpaceShipTwo.



VSS Unity replaces the first SpaceShipTwo, which broke apart on Oct. 31, 2014, during its fourth rocket-powered flight. Wreckage fell to the Mojave Desert.

The investigation into the mid-flight break up found that co-pilot Michael Alsbury prematurely unlocked the so-called feathering system that is intended to slow and stabilize the craft as it re-enters the atmosphere, according to the Associated Press. Alsbury was killed, but pilot Peter Siebold, although seriously injured, parachuted to safety.

Related: Virgin Galactics SpaceShipTwo crashes, one pilot killed



A National Transportation Safety Board investigation found that Scaled Composites, a company that was developing SpaceShipTwo with Virgin Galactic and was responsible for its test program, should have had systems to compensate for human error, the AP reported.","['spaceplane', 'vss', 'galactic', 'space', 'company', 'spaceshiptwo', 'unveils', 'virgin', 'unity', 'mojave', 'galactics']"
foxnews,,Watch Fox News Channel and Fox Business Network Online,[],,"['network', 'business', 'watch', 'fox', 'online', 'channel']"
foxnews,2016-02-20 00:00:00,"Brice Johnson's shot didn't count, but it's worth seeing",[],"This would have been the first 3-pointer of Brice Johnson's career.

However, the North Carolina senior forward did not beat the halftime buzzer before releasing this near full-court heave.

It may not have counted...but this full court shot by Brice Johnson was ridiculous. https://t.co/tUWTHgvLaR  CBS Sports CBB (@CBSSportsCBB) February 20, 2016

Fortunately for Johnson, this putback slam, which sparked a 10-2 run, did count earlier in the half.

Put back jam or an alley-oop?



Either way, this Brice Johnson dunk worked out well for @UNC_Basketball. https://t.co/oLbHRRv7lc  CBS Sports CBB (@CBSSportsCBB) February 20, 2016

The Tar Heels, ranked No. 5 in the Associated Press poll, still entered the break with a 42-33 lead over No. 11 Miami.","['count', 'seeing', 'cbb', 'shot', 'tar', 'johnson', 'unc_basketball', 'cbs', 'cbssportscbb', 'brice', 'way', 'johnsons', '20', 'worked', 'didnt', 'worth']"
foxnews,2016-02-21 00:00:00,"Exit polls: ""No"" vote wins with 51 pct. in referendum on Morales' reelection",[],"Bolivians voted Sunday in a referendum on whether to modify the Constitution to allow President Evo Morales to run for a third consecutive term, but - according to initial exit polls - the ""No"" option won with at least 51 percent of the ballots.

The exit survey, released four hours after the close of the polls, performed by Equipos Mori revealed that ""No"" votes outweighed ""Yes"" votes by 51 percent to 49 percent while the survey by Ipsos found the ""No""-""Yes"" breakdown to be 52.3 to 47.7 percent.

More than 6.5 million Bolivians were called to vote in the referendum on whether to reform the Constitution to allow presidents to serve three consecutive terms, in contrast to the current limit of two consecutive terms.

Broadening the number of consecutive terms in office would allow Morales to - once again - run for reelection.

Both surveys found that the ""Yes"" option won only in the provinces of La Paz, Cochabamba and Oruro, while the ""No"" option won in Santa Cruz, Potosi, Chuquisaca, Tarija, Beni and Pando.

The ""No"" option won by more than 60 percent in Tarija, Beni, Potosi and Santa Cruz, according to the surveys.

Recent voter surveys - conducted prior to the referendum - had shown that the ""Yes"" and ""No"" options were running neck and neck, but they were released before a controversial complaint became public implicating Morales in an alleged case of influence peddling involving a former girlfriend, a charge the president has denied. EFE

lcl/bp","['reelection', 'votes', 'terms', 'option', 'wins', 'polls', '51', 'referendum', 'pct', 'tarija', 'won', 'exit', 'morales', 'vote', 'consecutive', 'yes', 'allow']"
foxnews,2016-02-22 00:00:00,"US, North Korea Agreed to Peace Talks Before Latest Nuclear Test",[],"Published February 21, 2016 | The Wall Street Journal

Days before North Koreas latest nuclear-bomb test, the Obama administration secretly agreed to talks to try to formally end the Korean War, dropping a longstanding condition that Pyongyang first take steps to curtail its nuclear arsenal.

Instead the U.S. called for North Koreas atomic-weapons program to be simply part of the talks. Pyongyang declined the counter-proposal, according to U.S. officials familiar with the events. Its nuclear test on Jan. 6 ended the diplomatic gambit.

The episode, in an exchange at the United Nations, was one of several unsuccessful attempts that American officials say they made to discuss denuclearization with North Korea during President Barack Obamas second term while also negotiating with Iran over its nuclear program.

The State Department on Sunday acknowledged the U.S. exchange with North Korea, saying it took place in accordance with longstanding U.S. goals.","['korea', 'north', 'longstanding', 'koreas', 'nuclear', 'agreed', 'peace', 'talks', 'officials', 'pyongyang', 'test', 'exchange', 'latest']"
foxnews,2016-02-20 00:00:00,"Mexico's Silvia Pinal presents autobiography, fondly recalls work with Bunuel",[],"Mexican actress Silvia Pinal said here during the presentation of her autobiography that the masterful way that late Spanish filmmaker Luis Bunuel directed her in the classic films ""Viridiana,"" ""The Exterminating Angel"" and ""Simon of the Desert"" was the highlight of her career.

""Working with Bunuel was wonderful. It was the pinnacle of my career in the cinema,"" the 84-year-old actress, who spoke with the media about ""Esta soy yo"" (This Is Me) at the Palacio de Mineria International Book Fair, told EFE on Friday.

Pinal, a native of the northwestern state of Sonora, said the peak of her career was when ""Viridiana"" was awarded the Palme d'Or at the 1961 Cannes Film Festival.

In her personal life she said one of her greatest experiences was the birth of her daughter Sylvia Pasquel in 1949, while in politics she mentioned being sworn in as a federal senator in 1997.

The 384-page autobiography examines all aspects of her life, although she devotes most of her attention to her acting career and explains why she never succumbed to the siren's call of Hollywood.

""I was already beginning to work in the theater, acting in the play 'Ring, ring, llama el amor' (Bells are Ringing, 1958) - the first musical comedy produced in Mexico - with considerable success,"" Pinal recalled.

She added that the agent of Judy Holliday, who had starred in that musical on Broadway, ""came to see me in Mexico City and after seeing the performance he asked me if I wanted to go to Los Angeles.""

Pinal said the decision was an easy one.

""I already had a name in Mexico. I was acting, doing theater and movies. It was a good opportunity, but the truth is I didn't want to go; I was really enjoying myself and I'm still enjoying myself. I wondered about it at one time, but I think I made the best decision: staying here,"" she said. EFE","['autobiography', 'life', 'pinal', 'theater', 'mexico', 'career', 'silvia', 'work', 'musical', 'presents', 'acting', 'viridiana', 'mexicos', 'recalls', 'ring', 'enjoying', 'fondly', 'buuel']"
